id,kanji,meaning,reading,tag
131,学生,student,がくせい,JLPT N5
132,～か月,(number of) months,～かげつ,JLPT N5
133,掛ける,"to put on (e.g., glasses); to hang (e.g., on a wall)",かける,JLPT N5
134,傘,"umbrella, parasol",かさ,JLPT N5
135,貸す,to lend,かす,JLPT N5
136,風,"wind, breeze",かぜ,JLPT N5
137,風邪,"cold, flu",かぜ,JLPT N5
138,方,-- honorific form for 人 (ひと) --; way of doing,かた,JLPT N5
139,家族,"family, members of a family",かぞく,JLPT N5
140,片仮名,katakana,かたかな,JLPT N5
141,～月,month of year,～がつ,JLPT N5
142,学校,a school,がっこう,JLPT N5
143,家庭,home; family,かてい,JLPT N5
144,角,"corner (e.g., desk, pavement)",かど,JLPT N5
145,花瓶,(flower) vase,かびん,JLPT N5
146,紙,paper,かみ,JLPT N5
147,火曜日,Tuesday,かようび,JLPT N5
148,辛い,hot and spicy; salty,からい,JLPT N5
149,体,body; health,からだ,JLPT N5
150,借りる,"to borrow, to owe",かりる,JLPT N5
151,軽い,"light, non-serious, minor",かるい,JLPT N5
152,川; 河,river,かわ,JLPT N5
153,～側,~ side,～がわ,JLPT N5
154,可愛い,"cute, adorable",かわいい,JLPT N5
155,漢字,kanji; Chinese character,かんじ,JLPT N5
156,木,"tree, wood, timber",き,JLPT N5
157,黄色,yellow,きいろ,JLPT N5
158,黄色い,yellow,きいろい,JLPT N5
159,消える,"to vanish, to disappear",きえる,JLPT N5
160,聞く,"to hear, to listen, to ask",きく,JLPT N5
161,北,north,きた,JLPT N5
162,汚い,"dirty, unclean, filthy",きたない,JLPT N5
163,喫茶店,café,きっさてん,JLPT N5
164,切手,postal (postage) stamps,きって,JLPT N5
165,切符,a ticket,きっぷ,JLPT N5
166,昨日,yesterday,きのう,JLPT N5
167,九,nine,きゅう,JLPT N5
168,牛肉,beef,ぎゅうにく,JLPT N5
169,牛乳,milk,ぎゅうにゅう,JLPT N5
170,今日,"today, this day",きょう,JLPT N5
171,教室,classroom,きょうしつ,JLPT N5
172,兄弟,"siblings (humble), brothers and sisters",きょうだい,JLPT N5
173,去年,last year,きょねん,JLPT N5
174,嫌い,dislike,きらい,JLPT N5
175,切る,to cut; to hang up (a phone),きる,JLPT N5
176,着る,to put on (clothes above your waist); to wear,きる,JLPT N5
177,綺麗,"pretty, clean, tidy",きれい,JLPT N5
178,銀行,bank,ぎんこう,JLPT N5
179,金曜日,Friday,きんようび,JLPT N5
180,九,nine,く,JLPT N5
181,薬,medicine,くすり,JLPT N5
182,下さい,(with te-form verb) please do for me,ください,JLPT N5
183,果物,fruit,くだもの,JLPT N5
184,口,job opening; mouth,くち,JLPT N5
185,靴,"shoes, footwear",くつ,JLPT N5
186,靴下,socks,くつした,JLPT N5
187,国,country; place of origin,くに,JLPT N5
188,曇り,"cloudiness, cloudy weather",くもり,JLPT N5
189,曇る,"to become cloudy, to become dim",くもる,JLPT N5
190,暗い,"dark, gloomy",くらい,JLPT N5
191,来る,to come,くる,JLPT N5
192,車,"car, vehicle",くるま,JLPT N5
193,黒,black,くろ,JLPT N5
194,黒い,black; dark,くろい,JLPT N5
195,警官,police officer,けいかん,JLPT N5
196,今朝,this morning,けさ,JLPT N5
197,消す,"to erase, to delete, to turn off power",けす,JLPT N5
198,結構,"splendid; enough, tolerably",けっこう,JLPT N5
199,結婚,marriage (get married),けっこん,JLPT N5
200,月曜日,Monday,げつようび,JLPT N5
201,玄関,entrance (to a house or a building),げんかん,JLPT N5
202,元気,"health(y), energetic",げんき,JLPT N5
203,～個,"counter for small items (e.g., fruits, cups)",～こ,JLPT N5
204,五,five,ご,JLPT N5
205,～語,"word, language",～ご,JLPT N5
206,公園,a park,こうえん,JLPT N5
207,交差点,intersection,こうさてん,JLPT N5
208,紅茶,black tea,こうちゃ,JLPT N5
209,交番,police box,こうばん,JLPT N5
210,声,voice,こえ,JLPT N5
211,午後,"afternoon, P.M.",ごご,JLPT N5
212,九日,nine days; ninth day of the month,ここのか,JLPT N5
213,九つ,nine things,ここのつ,JLPT N5
214,午前,"morning, A.M.",ごぜん,JLPT N5
215,答える,"to answer, to reply",こたえる,JLPT N5
216,今年,this year,ことし,JLPT N5
217,言葉,language; word(s); expression(s),ことば,JLPT N5
218,子供,child(ren),こども,JLPT N5
219,御飯,rice (cooked); meal,ごはん,JLPT N5
